states
tanzania
tansania
Dar es Salaam	
Mwanza	
Arusha	
Dodoma	
Mbeya	
Morogoro	
Tanga	
Kahama	
Tabora	
Zanzibar City	
Kigoma	
Sumbawanga	
Kasulu	
Songea
Moshi	
Musoma	
Shinyanga
Iringa	
Singida	
Njombe	
Bukoba	
Kibaha
Mtwara	
Mpanda	
Tunduma	
Makambako
Babati
Handeni	
Lindi
Korogwe	
Mafinga
